obs,year,ug,um,gnpdef,hdem,sdem,pres,elect,reagan,opp,ww2,kwar,vwar,krus,gorb,salt
1940,1940,9.589,1.504,22.7,60.138,71.875,0,1,0,0,0,0,0,0,0,0
1941,1941,13.98,6.062,27.8,61.609,68.75,0,0,0,0,1,0,0,0,0,0
1942,1942,34.5,23.97,33,61.609,68.75,0,0,0,0,1,0,0,0,0,0
1943,1943,78.909,63.212,34,50.698,60.417,0,1,0,0,1,0,0,0,0,0
1944,1944,93.956,76.874,33.1,50.698,60.417,0,1,0,0,1,0,0,0,0,0
1945,1945,95.184,81.585,31.9,55.76,58.333,0,0,0,0,1,0,0,0,0,0
1946,1946,61.738,44.731,30.2,55.76,58.333,0,0,0,0,0,0,0,0,0,0
1947,1947,36.931,13.059,35,43.318,46.875,0,1,0,1,0,0,0,0,0,0
1948,1948,36.493,13.015,39,43.318,46.875,0,1,0,1,0,0,0,0,0,0
1949,1949,40.57,13.097,41.4,60.46,56.25,0,0,0,0,0,0,0,0,0,0
1950,1950,43.147,13.119,39.6,60.46,56.25,0,0,0,0,0,0,0,0,0,0
1951,1951,45.757,22.544,46.6,53.917,51.042,0,1,0,0,0,1,0,0,0,0
1952,1952,67.692,44.015,48.9,53.917,51.042,0,1,0,0,0,1,0,0,0,0
1953,1953,76.769,50.413,50.1,48.618,48.958,1,0,0,0,0,1,0,0,0,0
1954,1954,70.89,46.645,49.1,48.618,48.958,1,0,0,0,0,0,0,0,0,0
1955,1955,68.509,40.245,50.4,53.333,50,1,1,0,1,0,0,0,1,0,0
1956,1956,70.46,40.305,52.9,53.333,50,1,1,0,1,0,0,0,1,0,0
1957,1957,76.741,42.76,55.1,53.811,51.042,1,0,0,1,0,0,0,1,0,0
1958,1958,82.575,44.371,57.7,53.811,51.042,1,0,0,1,0,0,0,1,0,0
1959,1959,92.104,46.617,59,64.989,65,1,1,0,1,0,0,0,1,0,0
1960,1960,92.223,45.908,59.4,64.989,65,1,1,0,1,0,0,0,1,0,0
1961,1961,97.795,47.381,60.2,60.183,65,0,0,0,0,0,0,0,1,0,0
1962,1962,106.813,51.097,62,60.183,65,0,0,0,0,0,0,0,1,0,0
1963,1963,111.311,52.257,63.5,59.31,67,0,1,0,0,0,0,0,1,0,0
1964,1964,118.584,53.591,65.1,59.31,67,0,1,0,0,0,0,0,1,0,0
1965,1965,118.43,49.578,67.1,67.816,68,0,0,0,0,0,0,1,0,0,0
1966,1966,134.652,56.785,70,67.816,68,0,0,0,0,0,0,1,0,0,0
1967,1967,158.254,70.708,72.7,56.912,64,0,1,0,0,0,0,1,0,0,0
1968,1968,178.833,80.517,76.5,56.912,64,0,1,0,0,0,0,1,0,0,0
1969,1969,184.548,81.232,80.1,55.862,57,1,0,0,1,0,0,1,0,0,0
1970,1970,196.588,80.295,86.6,55.862,57,1,0,0,1,0,0,0,0,0,0
1971,1971,210.172,77.497,92.7,58.525,54,1,1,0,1,0,0,0,0,0,0
1972,1972,230.681,77.645,100,58.525,54,1,1,0,1,0,0,0,0,0,1
1973,1973,245.707,75.033,106.3,55.324,56,1,0,0,1,0,0,0,0,0,1
1974,1974,269.359,77.864,114.9,55.324,56,1,0,0,1,0,0,0,0,0,1
1975,1975,332.332,84.852,126,66.897,60,1,1,0,1,0,0,0,0,0,1
1976,1976,371.779,87.917,133.5,66.897,60,1,1,0,1,0,0,0,0,0,1
1977,1977,409.203,95.147,150.2,67.126,61,0,0,0,0,0,0,0,0,0,1
1978,1978,458.729,102.259,160.7,67.126,61,0,0,0,0,0,0,0,0,0,1
1979,1979,503.464,113.605,175.3,63.741,58,0,1,0,0,0,0,0,0,0,1
1980,1980,590.92,130.912,195.2,63.741,58,0,1,0,0,0,0,0,0,0,1
1981,1981,678.209,153.868,213.2,55.862,46,1,0,1,0,0,0,0,0,0,1
1982,1982,745.706,180.714,228.3,55.862,46,1,0,1,0,0,0,0,0,0,1
1983,1983,808.327,204.41,237.4,61.982,46,1,1,1,0,0,0,0,0,0,1
1984,1984,851.781,220.928,244.9,61.982,46,1,1,1,0,0,0,0,0,0,1
1985,1985,946.316,245.154,257.1,58.065,47,1,0,1,0,0,0,0,0,1,1
1986,1986,990.258,265.48,263.2,58.065,47,1,0,1,0,0,0,0,0,1,1
1987,1987,1004.586,273.966,270.5,59.31,55,1,1,1,1,0,0,0,0,1,1
